,category,question,answer,links
0,환경설정,브라우저 캐시 및 쿠키 삭제 방법을 알려주세요.,"캐시 및 쿠키 삭제

○ Edge의 경우
1. 현재 사용중인 모든 브라우저 창을 종료합니다.
2. 빈 페이지의 브라우저를 실행합니다.
3. Ctrl + Shift + Del 키를 누릅니다.
4. 쿠키 및 기타 사이트 데이터, 캐시된 이미지 또는 파일을 체크한 후, 인터넷 사용 기록 삭제 버튼을 클릭합니다

○ Chrome의 경우
1. 컴퓨터에서 Chrome을 엽니다.
2. 오른쪽 상단에서 더보기 더보기 다음 인터넷 사용 기록 삭제를 클릭합니다.
3. 지난 1시간 또는 전체 기간과 같이 원하는 기간을 선택합니다.
4. 삭제하려는 정보 유형을 선택합니다.
5. 인터넷 사용 기록 삭제를 클릭합니다.

○ Android
 1. Android 기기에서 Chrome앱을 엽니다.
 2. 더보기 다음 인터넷 사용 기록 삭제를 탭합니다.

○ iPhone/iPad
 1. iPhone 또는 iPad에서 Chrome 앱을 엽니다.
 2. 더보기 다음 인터넷 사용 기록 삭제를 탭합니다.
 3. 삭제하려는 정보 유형을 선택합니다.
 4. 인터넷 사용 기록 삭제를 탭합니다.
 5. 오른쪽 상단에서 완료를 탭합니다.

새창으로 이용하시고 동일 오류가 발생되는 경우 정부24 헬프데스크 1588-2188로 문의주시기 바랍니다.",[]
1,민원신청,해외에서 해외체류신고시 PC 시간대 설정 방법을 알려주세요.,"윈도우 시작 > 설정 > 시간&언어 > 날짜 & 시간으로 이동합니다.

표준 시간대를 (UTC +09:00) 서울로 변경 후 해외체류신고를 하시면 됩니다.",[]
2,환경설정,정부24 연말정산 페이지 접속 시 ip 차단되었다고 나올때 조치방법,"해당 문제는 PC에 맥아피(McAfee) 보안 프로그램이 설치되어 있을 경우 크롬(Chrom)브라우저 사용자에게 발생하는 현상입니다.

< 해결방법>
1. 크롬(Chrom)브라우저에서 발생하는 문제로 엣지(Edge) 등의 다른 웹브라우저 사용 

2. 맥아피(Mcafee) 보안프로그램 임시 비 활성화
  * 크롬(Chrom)  설정 > 확장프로그램 > 비활성화 체크",[]
3,민원발급,[취학통지서] 취학통지서 온라인 발급은 꼭 세대주만 가능한가요?,"네. 현재 주민등록시스템에서는 세대구성원을 '세대주', '세대원'으로만 구분하고 있으며, 세대구성원 중 누가 취학대상아동의 '보호자'인지를 구별할 수 없어 '세대주'를 취학아동의 보호자로 지정하여 관리하고 있습니다. 이에 따라 취학통지서 온라인 발급은 세대주만 가능합니다.
다만, 현 세대주 외 다른 세대원이 취학통지서를 온라인으로 발급받고자하는 경우 주민센터에 방문(신분증 지참)하시어 세대주가 아닌 세대원을 보호자로 변경하는 경우 가능합니다.
※ 세대원에는 취학대상아동의 조부모, 고모, 동거인, 형제자매 등이 포함되어 있어 시스템상으로 세대원 중 취학통지 대상이 되는 '보호자'를 선별할 수 없음",[]
4,전입신고,[전입신고] 전입지 세대주 확인까지 완료되었는데 처리상태가 미접수로 확인됩니다.,"세대주가 아닌 세대원이 세대주를 포함하여 온라인 전입신고를 하는 경우나 세대원이 만19세 미만의 세대원을 포함하여 전입신고를 하는 경우 전출지 세대주도 세대주 확인이 필요합니다.
이 경우 전출지 세대주가 신분증을 소지하고 전입지 주민센터에 방문하거나 온라인 세대주 확인을 해야 접수상태로 변경됩니다.
(※ 전출지 세대주 확인도 전입지에서만 가능 ※)",[]
5,인증,Anysign4PC 프로그램 반복설치 오류가 발생하는 경우 조치 방법,"Anysign4PC 프로그램 반복설치 문제가 발생할 경우에는 아래 가이드와 같이 조치를 해주십시오.
>>Anysign 프로그램 반복설치 오류 가이드",['https://www.gov.kr/main?d=AA100DataDownApp&SAVE_FILE_NM=52400.pdf']
6,전입신고,[전입신고] 전입신고 시 신청한 요금감면 일괄신청 내역 확인은 어떻게 하나요?,"전입신고 시 신청한 요금감면 일괄신청 내역은
""MyGOV > 나의서비스 > 서비스 신청내역""에서 전입신고 신청 목록을 선택하시면 ""민원신청내역 상세조회"" 페이지로 이동합니다.
""민원신청내역 상세조회"" 페이지에서 민원명 ""전입신고""를 클릭하시면 ""민원신청내역 확인"" 화면으로 이동합니다.
""민원신청내역 확인"" 화면의 하단에 ""전입신고+요금감면 신청 내역"" 목록을 확인하실 수 있습니다.",[]
7,민원발급,[취학통지서] 공동학구인 경우 취학가능 학교가 여러개 인데 어느 학교에 입학해야 하나요?,"공동학구의 경우 취학가능 학교 중 입학할 학교를 보호자가 선택하실 수 있으며, 관련하여 예비소집 등의 문의는 배정받은 학교로 문의하시기 바랍니다.",[]
8,민원발급,[취학통지서] 취학통지서 통학구역에 단일학구와 공동학구 표시가 없습니다.,취학대상 아동의 주소 관할 읍면동 주민센터에 문의해 주시기 바랍니다.,[]
9,민원발급,[취학통지서] 취학통지서에 학교 예비소집 날짜가 여러 개 기재되어 있습니다. 각 날짜별로 어느 학교의 예비소집 날짜인지 어떻게 알 수 있나요?,배정받은 학교에 직접 문의해 주시기 바랍니다.,[]
